[00:03:31]: [DangTienScan] === scan begin ===	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_HTZ_NOLQ = 灵力不足	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_TUPO_USELESS = 它对我的修炼已经没有作用了	
[00:03:31]: [DangTienScan] CN | STRINGS.SWHS_LEVELLIMIT = 我的神识还不够强大	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_JINGWEI_FENICE_BUILDCD = 得有时间重新凝聚玄鸟肉身聚拢神魂	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_BY_INCD = 暂时不能重塑碧云童子新的肉身。	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_FUR_COOK = 炼制	
[00:03:31]: [DangTienScan] CN | STRINGS.THANKS_POPUP.DENGXIAN_SKINITEM = 祝您仙途坦荡！	
[00:03:31]: [DangTienScan] CN | STRINGS.FBJILIANTSR.JILIAN = 祭炼	
[00:03:31]: [DangTienScan] CN | STRINGS.FBJILIANTSR.JLLEVEL = 我的神魂都在颤抖，还是元婴期再来吧	
[00:03:31]: [DangTienScan] CN | STRINGS.FBJILIANTSR.INCD = 需要时间梳理一下体内灵力才行	
[00:03:31]: [DangTienScan] CN | STRINGS.FBJILIANTSR.NOLEVEL = 需要达到元婴期才能驾驭这玄宝	
[00:03:31]: [DangTienScan] CN | STRINGS.FBJILIANTSR.NOTCURRENTOWNER = 灵宝上他人的神念无法抹去	
[00:03:31]: [DangTienScan] CN | STRINGS.FBJILIANTSR.LSJILIAN = 嵌入灵石	
[00:03:31]: [DangTienScan] CN | STRINGS.FBJILIANTSR.KQJILIAN = 嵌入灵宝	
[00:03:31]: [DangTienScan] CN | STRINGS.FBJILIANTSR.NOBYSP = 没有足够的上品灵石可以祭炼我的灵宝了	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_RESKIN_STR = 切换皮肤	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_OTHERITEM = 这是他人的私人物品	
