path	original	line	comment
ACTIONFAIL.APPRAISE.NOTNOW	妾身忙着呢。	7	暂无注释
ACTIONFAIL.REPAIR.WRONGPIECE	那不太对吧。	11	化石骨架拼接错误
ACTIONFAIL.BUILD.MOUNTED	放不下。	15	建造失败（骑乘状态）
ACTIONFAIL.BUILD.HASPET	妾身已经有一只宠物了。	16	建造失败（已经有一个宠物了）
ACTIONFAIL.BUILD.TICOON	妾身不需要第二只大虎。	17	暂无注释
ACTIONFAIL.SHAVE.AWAKEBEEFALO	妾身才不会在他醒着时去弄。	21	给醒着的牛刮毛
ACTIONFAIL.SHAVE.GENERIC	妾身不能给那个剃毛。	22	刮牛毛失败
ACTIONFAIL.SHAVE.NOBITS	它已经没有毛了。	23	给没毛的牛刮毛
ACTIONFAIL.SHAVE.SOMEONEELSESBEEFALO	妾身不能剃那只皮弗娄牛的毛。	25	暂无注释
ACTIONFAIL.STORE.GENERIC	装满了。	29	存放东西失败
ACTIONFAIL.STORE.NOTALLOWED	这东西不能装进那里。	30	存放东西--不被允许
ACTIONFAIL.STORE.INUSE	退下，让本妃看看。	31	别人正在用箱子
ACTIONFAIL.STORE.NOTMASTERCHEF	烹饪水平还不够。	32	暂无注释
ACTIONFAIL.CONSTRUCT.INUSE	有人抢先了。	36	建筑正在使用
ACTIONFAIL.CONSTRUCT.NOTALLOWED	不合适。	37	建筑不允许使用
ACTIONFAIL.CONSTRUCT.EMPTY	妾身需要一些建造材料。	38	建筑空了
ACTIONFAIL.CONSTRUCT.MISMATCH	好像不行。	39	升级套件错误（目前用不到）
ACTIONFAIL.CONSTRUCT.NOTREADY	之后可能会出现新的状况。	40	暂无注释
ACTIONFAIL.RUMMAGE.GENERIC	妾身不能那么做。	44	打开箱子失败
ACTIONFAIL.RUMMAGE.INUSE	他们在埋头寻找。	45	打开箱子 正在使用
ACTIONFAIL.RUMMAGE.NOTMASTERCHEF	烹饪水平还不够。	46	暂无注释
ACTIONFAIL.RUMMAGE.NOTAMERM	妾身不认为鱼人会为此感到高兴。	47	暂无注释
ACTIONFAIL.UNLOCK.WRONGKEY	妾身做不到。	51	暂无注释
ACTIONFAIL.USEKLAUSSACKKEY.WRONGKEY	那不对。	55	使用克劳斯钥匙
ACTIONFAIL.USEKLAUSSACKKEY.KLAUS	妾身有点忙。	56	克劳斯
ACTIONFAIL.ACTIVATE.LOCKED_GATE	大门锁上了。	60	远古钥匙
ACTIONFAIL.ACTIVATE.HOSTBUSY	他现在好像有点忙。	61	暂无注释
ACTIONFAIL.ACTIVATE.CARNIVAL_HOST_HERE	他就在附近。	62	暂无注释
ACTIONFAIL.ACTIVATE.NOCARNIVAL	鸟儿看起来都飞走了。	63	暂无注释
ACTIONFAIL.ACTIVATE.EMPTY_CATCOONDEN	妾身还以为里面肯定会有好东西呢。	64	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDERS	应该不会这么容易，要是再多几个小家伙就好了……	65	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDING_SPOTS	周围没有很多地方可供它们藏身。	66	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_ONE_GAME_PER_DAY	今天就到此为止吧。	67	暂无注释
ACTIONFAIL.ACTIVATE.MANNEQUIN_EQUIPSWAPFAILED	他应该穿不上。	68	暂无注释
ACTIONFAIL.ACTIVATE.PILLOWFIGHT_NO_HANDPILLOW	妾身需要一个枕头来战斗。	69	暂无注释
ACTIONFAIL.ACTIVATE.NOTMYBERNIE	妾身的东西可没那么可怕。	70	暂无注释
ACTIONFAIL.ACTIVATE.NOTMERM	只有鱼人才能召唤鱼人。	71	暂无注释
ACTIONFAIL.OPEN_CRAFTING.PROFESSIONALCHEF	烹饪水平还不够。	77	暂无注释
ACTIONFAIL.OPEN_CRAFTING.SHADOWMAGIC	那不是妖术。	78	暂无注释
ACTIONFAIL.COOK.GENERIC	妾身可不喜欢干这种粗活。	82	做饭失败
ACTIONFAIL.COOK.INUSE	这是御膳房的厨子该做的。	83	做饭失败-别人在用锅
ACTIONFAIL.COOK.TOOFAR	太远了。	84	做饭失败-太远
ACTIONFAIL.START_CARRAT_RACE.NO_RACERS	妾身肯定是漏掉了什么东西。	88	暂无注释
ACTIONFAIL.DISMANTLE.COOKING	煮着东西呢，不能这样。	92	暂无注释
ACTIONFAIL.DISMANTLE.INUSE	妾身还需要等吗。	93	暂无注释
ACTIONFAIL.DISMANTLE.NOTEMPTY	妾身得先把里面的东西移走。	94	暂无注释
ACTIONFAIL.FISH_OCEAN.TOODEEP	不是海钓竿，不适合深海海钓。	98	暂无注释
ACTIONFAIL.OCEAN_FISHING_POND.WRONGGEAR	这根钓竿不适合在池塘钓鱼。	102	暂无注释
ACTIONFAIL.GIVE.GENERIC	那东西没有去那里。	122	给予失败
ACTIONFAIL.GIVE.DEAD	也许妾身该留着这个。	123	给予 -目标死亡
ACTIONFAIL.GIVE.SLEEPING	不省人事，无心牵挂。	124	给予--目标睡觉
