聒噪！王某此刻无暇分心。	Ồn ào! Ta hiện không rảnh để phân tâm.
荒谬！此物与阵法格格不入。	Vô lý! Vật này hoàn toàn không hợp với trận pháp.
待我下了坐骑再行事。	Đợi ta xuống lưng kỳ thú đã.
已有灵兽相伴，不必再多。	Đã có linh thú bên cạnh, không cần thêm nữa.
此等凡物，不入王某法眼。	Vật tầm thường như vậy, không lọt được mắt xanh của ta.
待其沉睡再动手不迟。	Đợi nó ngủ rồi ra tay cũng chưa muộn.
此兽野性未驯，还需等待时机。	Con thú này chưa thuần, cần đợi thời cơ thích hợp.
已无毛可刮，不必白费功夫。	Không còn lông để cạo, không cần tốn công vô ích.
此术非你所能承受。	Thuật này ngươi không thể chịu nổi.
此兽已有主，强取无益。	Con thú này đã có chủ, cưỡng đoạt vô ích.
此物不入我眼。	Vật này không lọt vào mắt ta.
此物与储物法器相斥。	Vật này xung khắc với pháp khí lưu trữ.
有人正在使用，稍后再来。	Có người đang dùng, lát nữa hãy lại.
厨艺之道，非我所长。	Nấu nướng vốn không phải sở trường của ta.
有人正在使用，且待片刻。	Có người đang dùng, hãy chờ chút.
此地不宜建造。	Nơi này không thích hợp để xây dựng.
材料不足，还需搜集。	Vật liệu chưa đủ, cần thu thập thêm.
材料不符，需另寻他物。	Vật liệu không phù hợp, cần tìm thứ khác.
时机未到，还需准备。	Thời cơ chưa đến, cần chuẩn bị thêm.
此物无需查看。	Vật này không cần xem xét.
有人正在使用，稍候片刻。	Có người đang dùng, xin đợi chút.
厨艺非我所长。	Nấu ăn không phải sở trường của ta.
钥匙不对，需另寻他法。	Chìa khóa không đúng, cần tìm cách khác.
此钥非此锁所用。	Chìa này không phải dùng cho ổ khóa này.
强敌当前，需谨慎应对。	Kẻ địch mạnh, cần cẩn thận ứng phó.
需寻得对应钥匙方可开启。	Cần tìm đúng chìa khóa mới mở được.
对方无暇回应，且等待片刻。	Đối phương không rảnh, hãy đợi chút.
目标就在附近...	Mục tiêu ở ngay gần...
人已散去，来迟一步。	Người đã tan đi, đến muộn một bước.
巢穴已空，毫无收获。	Tổ đã trống, chẳng thu hoạch được gì.
数量不足，游戏无法进行。	Số lượng không đủ, trò chơi không thể tiến hành.
藏身之处太过稀少。	Chỗ ẩn nấp quá ít ỏi.
今日已尽兴，明日再来。	Hôm nay đã vui đủ, ngày mai hãy đến.
人偶无法装备此物。	Con rối không thể trang bị vật này.
手中无枕，如何参与？	Tay không có gối, sao có thể tham gia?
灶火之技，何足道哉。	Nghề bếp núc, có gì đáng nói.
鬼蜮伎俩，也敢献丑。	Mánh khóe ma quỷ, cũng dám trình diễn?
凡俗炊爨，徒耗光阴。	Nấu nướng trần tục, chỉ phí thời gian.
炉鼎有主，退下。	Lò đỉnh đã có chủ, lui ra.
此等距离，神念亦可及。	Khoảng cách này, thần niệm cũng có thể với tới.
既无胆魄，何谈机缘。	Đã không có can đảm, nói gì đến cơ duyên.
真火未熄，擅动者伤。	Chân hỏa chưa tắt, ai tự ý động vào sẽ bị thương.
先来后到，此乃规矩。	Đến trước đến sau, đó là quy tắc.
杂芜并存，徒损灵机。	Tạp nham lẫn lộn, chỉ hao tổn linh cơ.
水不在深，有龙则灵。	Nước không cần sâu, có rồng là linh.
杀鸡焉用牛刀。	Giết gà sao cần dùng dao mổ trâu.
此物，与你无用。	Vật này, chẳng có ích gì cho ngươi.
神魂已散，授之无益。	Thần hồn đã tán, ban cho cũng vô ích.
