path	original	line	comment
ACTIONFAIL.GENERIC.ITEMMIMIC	好吧，这就不太方便了。	8	暂无注释
ACTIONFAIL.ACTIVATE.LOCKED_GATE	大门锁上了。	12	远古钥匙
ACTIONFAIL.ACTIVATE.HOSTBUSY	他现在好像有点忙。	13	鸦年华 良羽鸦在忙
ACTIONFAIL.ACTIVATE.CARNIVAL_HOST_HERE	他就在附近。	14	良羽鸦的 取消了 不会被调用
ACTIONFAIL.ACTIVATE.NOCARNIVAL	鸟儿看起来都飞走了。	15	激活良羽鸦树苗 但是没找到良羽鸦
ACTIONFAIL.ACTIVATE.EMPTY_CATCOONDEN	糟糕，我还以为里面肯定会有好东西呢！	16	洗劫空心树桩 但是没有藏品了
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDERS	应该不会这么容易，要是再多几个小家伙就好了……	17	浣猫年 和猫玩耍 猫不够
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDING_SPOTS	周围没有很多地方可供它们藏身。	18	浣猫年 和猫玩耍 没有足够位置捉迷藏
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_ONE_GAME_PER_DAY	我想今天就到此为止吧。	19	浣猫年 和猫玩耍 一天只能玩一次
ACTIONFAIL.ACTIVATE.MANNEQUIN_EQUIPSWAPFAILED	他应该穿不上。	20	假人不能装备这个装备
ACTIONFAIL.ACTIVATE.PILLOWFIGHT_NO_HANDPILLOW	我需要一个枕头来战斗！	21	枕头大战 没有枕头
ACTIONFAIL.ACTIVATE.NOTMYBERNIE	我的毛绒玩具可没那么可怕。	22	博尼小熊  不能被不是威洛的人激活
ACTIONFAIL.ACTIVATE.NOTMERM	只有鱼人才能召唤鱼人。	23	激活XX  不是鱼人
ACTIONFAIL.APPLYELIXIR.TOO_SUPER	这个味道有点大了。	29	暂无注释
ACTIONFAIL.APPRAISE.NOTNOW	人家忙着呢。	39	给牛评价 时间不对
ACTIONFAIL.ATTUNE.NOHEALTH	我感觉不够好。	43	制造肉雕像血量不足
ACTIONFAIL.BATHBOMB.GLASSED	不行，表面都变玻璃了。	47	月岛池子 里面已经有玻璃了
ACTIONFAIL.BATHBOMB.ALREADY_BOMBED	别浪费沐浴球。	48	月岛池子 已经有人放进去沐浴球了
ACTIONFAIL.BUILD.MOUNTED	放不下。	63	建造失败（骑乘状态）
ACTIONFAIL.BUILD.HASPET	我已经有一只宠物了。	64	建造失败（已经有一个宠物了）
ACTIONFAIL.BUILD.TICOON	我对自己的大虎专一投入，眼里根本没别人。	65	制作浣猫年 大虎失败
ACTIONFAIL.BUILD.BUSY_STATION	我得再等等。	66	暂无注释
ACTIONFAIL.CARNIVALGAME_FEED.TOO_LATE	我得快一点！	70	鸦年华活动 喂食太慢
ACTIONFAIL.CHANGEIN.GENERIC	我现在不想换。	100	换装失败 
ACTIONFAIL.CHANGEIN.BURNING	现在太危险了！	101	换装失败-着火了
ACTIONFAIL.CHANGEIN.INUSE	它一次只能进行一种风格转变。	102	衣橱有人占用
ACTIONFAIL.CHANGEIN.NOTENOUGHHAIR	皮毛不够用来装扮。	103	给牛换装 牛毛被刮光了
ACTIONFAIL.CHANGEIN.NOOCCUPANT	得在上面栓点东西。	104	给牛换装 没牛？
ACTIONFAIL.CHARGE_FROM.NOT_ENOUGH_CHARGE	难怪我不来电，早就没电了！	108	WX-78从发电机充电 没有电
ACTIONFAIL.CHARGE_FROM.CHARGE_FULL	满电状态！	109	WX-78从发电机充电 电已经满了
ACTIONFAIL.COMPARE_WEIGHABLE.FISH_TOO_SMALL	这家伙太小了。	113	鱼秤 手上的没鱼缸里的大
ACTIONFAIL.COMPARE_WEIGHABLE.OVERSIZEDVEGGIES_TOO_SMALL	还不够沉。	114	蔬菜秤 手上的没秤上的大
ACTIONFAIL.CONSTRUCT.INUSE	有人抢先了。	118	建筑正在使用
ACTIONFAIL.CONSTRUCT.NOTALLOWED	不匹配。	119	建筑不允许使用
ACTIONFAIL.CONSTRUCT.EMPTY	我需要一些建造材料。	120	建筑空了
ACTIONFAIL.CONSTRUCT.MISMATCH	哎呀，计划错误。	121	升级套件错误（目前用不到）
ACTIONFAIL.CONSTRUCT.NOTREADY	情况稳定下来之后它可能会出现。	122	建造建筑-没有准备好
ACTIONFAIL.COOK.GENERIC	我现在做不了饭。	126	做饭失败
ACTIONFAIL.COOK.INUSE	好像我们有一样的想法。	127	做饭失败-别人在用锅
ACTIONFAIL.COOK.TOOFAR	太远了！	128	做饭失败-太远
ACTIONFAIL.DEPLOY.HERMITCRAB_RELOCATE	空的。我准贝一会儿再试试。	132	暂无注释
ACTIONFAIL.DISMANTLE.COOKING	煮着东西呢，不能这样。	140	拆便携的物品-正在做饭
ACTIONFAIL.DISMANTLE.INUSE	科学告诉我，我该等轮到我。	141	拆便携的物品-正在使用
ACTIONFAIL.DISMANTLE.NOTEMPTY	我得先把里面的东西弄走。	142	拆便携的物品-里面有物品
ACTIONFAIL.DRAW.NOIMAGE	如果我面前有这东西，就比较容易了。	150	画图缺乏图像
ACTIONFAIL.FILL_OCEAN.UNSUITABLE_FOR_PLANTS	出于某些原因，植物不喜欢咸水。	163	水壶在海里灌水
ACTIONFAIL.FISH_OCEAN.TOODEEP	不是海钓竿，不适合深海海钓。	167	拿普通鱼竿去深海钓鱼
ACTIONFAIL.GIVE.GENERIC	那东西没有去那里。	171	给予失败
ACTIONFAIL.GIVE.DEAD	也许我该留着这个。	172	给予 -目标死亡
ACTIONFAIL.GIVE.SLEEPING	不省人事，无心牵挂。	173	给予--目标睡觉
ACTIONFAIL.GIVE.BUSY	我马上再试试。	174	给予--目标正忙
ACTIONFAIL.GIVE.ABIGAILHEART	这值得一试。	175	给阿比盖尔 救赎之心
ACTIONFAIL.GIVE.GHOSTHEART	或许，这不是好主意。	176	给鬼魂 救赎之心
ACTIONFAIL.GIVE.NOTGEM	我不会把那东西粘上去的！	177	给的不是宝石
ACTIONFAIL.GIVE.WRONGGEM	这个宝石在这里不起作用。	178	给错了宝石
ACTIONFAIL.GIVE.NOGENERATORSKILL	我不会把那东西粘上去的！	179	女工 没点技能不能用纯粹辉煌/纯粹恐惧
ACTIONFAIL.GIVE.NOTSTAFF	它的形状有些不对。	180	给月石祭坛的物品不是法杖
ACTIONFAIL.GIVE.MUSHROOMFARM_NEEDSSHROOM	一颗蘑菇可能会有更多的用处。	181	蘑菇农场需要蘑菇
ACTIONFAIL.GIVE.MUSHROOMFARM_NEEDSLOG	一块活木头可能会有更多的用处。	182	蘑菇农场需要活木
ACTIONFAIL.GIVE.MUSHROOMFARM_NOMOONALLOWED	这些蘑菇好像不愿意被种下去！	183	蘑菇农场里放入月蘑菇
ACTIONFAIL.GIVE.SLOTFULL	我们已经把一些东西放在那里了。	184	已经放了材料后，再给雕像桌子再给一个材料
ACTIONFAIL.GIVE.FOODFULL	这儿已经有一顿饭了。	185	没调用
ACTIONFAIL.GIVE.NOTDISH	它肯定不想吃那个。	186	没调用
ACTIONFAIL.GIVE.DUPLICATE	我们已经知道那个了。	187	给雕像桌子已经学习过的图纸
ACTIONFAIL.GIVE.NOTSCULPTABLE	即使是科学也不能把那玩意变成雕像。	188	给陶艺圆盘的东西不对
ACTIONFAIL.GIVE.NOTATRIUMKEY	它的形状有些不对。	189	中庭钥匙不对
ACTIONFAIL.GIVE.CANTSHADOWREVIVE	它不会复活。	190	中庭仍在CD
ACTIONFAIL.GIVE.WRONGSHADOWFORM	组装不对。	191	没调用
ACTIONFAIL.GIVE.NOMOON	我需要看到月亮才行。	192	洞穴里建造月石科技
ACTIONFAIL.GIVE.PIGKINGGAME_MESSY	我得先清理一下。	193	猪王旁边有建筑，不能开始抢元宝
ACTIONFAIL.GIVE.PIGKINGGAME_DANGER	现在这样太危险了。	194	危险，不能开始抢元宝
ACTIONFAIL.GIVE.PIGKINGGAME_TOOLATE	现在已经太晚了。	195	不是白天，不能开始抢元宝
ACTIONFAIL.GIVE.CARNIVALGAME_INVALID_ITEM	我需要去买代币。	196	鸦年华活动 给无效的物品
ACTIONFAIL.GIVE.CARNIVALGAME_ALREADY_PLAYING	已经有游戏在进行中了。	197	鸦年华活动 已经开始游戏了
ACTIONFAIL.GIVE.SPIDERNOHAT	我的口袋不能同时装下它们	198	喂食蜘蛛 没带蜘蛛帽
ACTIONFAIL.GIVE.TERRARIUM_REFUSE	也许我应该用不同种类的燃料进行实验……	199	盒中泰拉 拒绝这个物品
ACTIONFAIL.GIVE.TERRARIUM_COOLDOWN	树没长回来之前应该给不了东西。	200	盒中泰拉 在CD
ACTIONFAIL.GIVE.NOTAMONKEY	我不会说猴话。	201	不是芜猴 已弃用
ACTIONFAIL.GIVE.QUEENBUSY	她好像在忙。	202	猴子女王在忙
ACTIONFAIL.GIVE_TACKLESKETCH.DUPLICATE	不对，不对。	206	给陶盘已经有的图纸
ACTIONFAIL.GIVETOPLAYER.FULL	你的口袋太满了！	210	给玩家一个东西 -但是背包满了
ACTIONFAIL.GIVETOPLAYER.DEAD	也许我该留着这个。	211	给死亡的玩家一个东西
ACTIONFAIL.GIVETOPLAYER.SLEEPING	不省人事，无心牵挂。	212	给睡觉的玩家一个东西
ACTIONFAIL.GIVETOPLAYER.BUSY	我马上再试试。	213	给忙碌的玩家一个东西
ACTIONFAIL.GIVEALLTOPLAYER.FULL	你的口袋太满了！	217	给人一组东西 但是背包满了
ACTIONFAIL.GIVEALLTOPLAYER.DEAD	也许我该留着这个。	218	给于死去的玩家一组物品
ACTIONFAIL.GIVEALLTOPLAYER.SLEEPING	不省人事了。	219	给于正在睡觉的玩家一组物品
