好吧，这就不太方便了。	Thôi vậy, thế này thì bất tiện rồi.
大门锁上了。	Cổng lớn đã khoá.
他现在好像有点忙。	Xem chừng hắn đang bận.
他就在附近。	Hắn ở ngay gần đây.
鸟儿看起来都飞走了。	Chim chóc hình như bay đi cả rồi.
糟糕，我还以为里面肯定会有好东西呢！	Hỏng rồi, ta cứ tưởng bên trong nhất định có đồ tốt chứ!
应该不会这么容易，要是再多几个小家伙就好了……	Chắc không dễ vậy đâu, giá mà có thêm mấy đứa nhỏ nữa……
周围没有很多地方可供它们藏身。	Quanh đây không có mấy chỗ cho chúng trốn.
我想今天就到此为止吧。	Hôm nay ta nghĩ dừng ở đây thôi.
他应该穿不上。	Hắn chắc mặc không vừa.
我需要一个枕头来战斗！	Ta cần một cái gối để đánh nhau!
我的毛绒玩具可没那么可怕。	Con thú bông của ta đâu đáng sợ đến thế.
只有鱼人才能召唤鱼人。	Chỉ người cá mới triệu được người cá.
这个味道有点大了。	Mùi này hơi nồng quá.
人家忙着呢。	Người ta đang bận.
我感觉不够好。	Ta thấy chưa đủ tốt.
不行，表面都变玻璃了。	Không được, bề mặt hoá thuỷ tinh cả rồi.
别浪费沐浴球。	Đừng phí bóng tắm.
放不下。	Không đặt vừa.
我已经有一只宠物了。	Ta đã có một con thú nuôi rồi.
我对自己的大虎专一投入，眼里根本没别人。	Ta một lòng với con hổ lớn của mình, trong mắt chẳng có ai khác.
我得再等等。	Ta phải đợi thêm.
我得快一点！	Ta phải nhanh lên!
我现在不想换。	Giờ ta không muốn đổi.
现在太危险了！	Bây giờ nguy hiểm quá!
它一次只能进行一种风格转变。	Nó mỗi lần chỉ đổi được một kiểu.
皮毛不够用来装扮。	Da lông không đủ để trang trí.
得在上面栓点东西。	Phải buộc cái gì đó lên trên.
难怪我不来电，早就没电了！	Thảo nào ta chẳng có điện, hết sạch từ lâu rồi!
满电状态！	Đầy điện!
这家伙太小了。	Con này nhỏ quá.
还不够沉。	Vẫn chưa đủ nặng.
有人抢先了。	Có người nhanh tay hơn rồi.
不匹配。	Không khớp.
我需要一些建造材料。	Ta cần ít vật liệu xây dựng.
哎呀，计划错误。	Ây da, tính sai rồi.
情况稳定下来之后它可能会出现。	Đợi mọi thứ yên ổn rồi nó có lẽ sẽ xuất hiện.
我现在做不了饭。	Giờ ta không nấu được.
好像我们有一样的想法。	Xem ra chúng ta nghĩ giống nhau.
太远了！	Xa quá!
空的。我准贝一会儿再试试。	Trống không. Lát nữa ta thử lại.
煮着东西呢，不能这样。	Đang nấu dở, không làm vậy được.
科学告诉我，我该等轮到我。	Khoa học bảo ta phải đợi đến lượt.
我得先把里面的东西弄走。	Ta phải dọn đồ bên trong ra trước.
如果我面前有这东西，就比较容易了。	Nếu trước mặt ta có thứ này thì dễ hơn nhiều.
出于某些原因，植物不喜欢咸水。	Vì lẽ gì đó, cây cối không ưa nước mặn.
不是海钓竿，不适合深海海钓。	Không phải cần câu biển, không hợp câu ngoài khơi sâu.
那东西没有去那里。	Thứ đó không đặt vào đấy được.
也许我该留着这个。	Có lẽ ta nên giữ lại cái này.
不省人事，无心牵挂。	Bất tỉnh nhân sự, chẳng còn vướng bận.
我马上再试试。	Ta thử lại ngay.
